step,tokens,destination,source_depth,mean_weight,mean_entropy
190,100139008,block_12_attention,2,0.04841705784201622,3.129014253616333
190,100139008,block_12_attention,3,0.046050749719142914,3.129014253616333
190,100139008,block_12_attention,4,0.04884099215269089,3.129014253616333
190,100139008,block_12_attention,5,0.046345338225364685,3.129014253616333
190,100139008,block_12_attention,6,0.04709186777472496,3.129014253616333
190,100139008,block_12_attention,7,0.047361645847558975,3.129014253616333
190,100139008,block_12_attention,8,0.045512855052948,3.129014253616333
190,100139008,block_12_attention,9,0.047347184270620346,3.129014253616333
190,100139008,block_12_attention,10,0.04419725388288498,3.129014253616333
190,100139008,block_12_attention,11,0.04616142809391022,3.129014253616333
190,100139008,block_12_attention,12,0.043639346957206726,3.129014253616333
190,100139008,block_12_attention,13,0.046148184686899185,3.129014253616333
190,100139008,block_12_attention,14,0.042606331408023834,3.129014253616333
190,100139008,block_12_attention,15,0.04263567924499512,3.129014253616333
190,100139008,block_12_attention,16,0.040953196585178375,3.129014253616333
190,100139008,block_12_attention,17,0.038642529398202896,3.129014253616333
190,100139008,block_12_attention,18,0.03932664170861244,3.129014253616333
190,100139008,block_12_attention,19,0.03656352311372757,3.129014253616333
190,100139008,block_12_attention,20,0.03782707452774048,3.129014253616333
190,100139008,block_12_attention,21,0.033734869211912155,3.129014253616333
190,100139008,block_12_attention,22,0.03617432340979576,3.129014253616333
190,100139008,block_12_mlp,0,0.04695217311382294,3.1205596923828125
190,100139008,block_12_mlp,1,0.06110166013240814,3.1205596923828125
190,100139008,block_12_mlp,2,0.0586574450135231,3.1205596923828125
190,100139008,block_12_mlp,3,0.04531174153089523,3.1205596923828125
190,100139008,block_12_mlp,4,0.058742228895425797,3.1205596923828125
190,100139008,block_12_mlp,5,0.04871908947825432,3.1205596923828125
190,100139008,block_12_mlp,6,0.05032970756292343,3.1205596923828125
190,100139008,block_12_mlp,7,0.0525839738547802,3.1205596923828125
190,100139008,block_12_mlp,8,0.04530930146574974,3.1205596923828125
190,100139008,block_12_mlp,9,0.057742439210414886,3.1205596923828125
190,100139008,block_12_mlp,10,0.041949592530727386,3.1205596923828125
190,100139008,block_12_mlp,11,0.053051285445690155,3.1205596923828125
190,100139008,block_12_mlp,12,0.03940555825829506,3.1205596923828125
190,100139008,block_12_mlp,13,0.051504265516996384,3.1205596923828125
190,100139008,block_12_mlp,14,0.0348554365336895,3.1205596923828125
190,100139008,block_12_mlp,15,0.04263261705636978,3.1205596923828125
190,100139008,block_12_mlp,16,0.031694091856479645,3.1205596923828125
190,100139008,block_12_mlp,17,0.03148145228624344,3.1205596923828125
190,100139008,block_12_mlp,18,0.02809426747262478,3.1205596923828125
190,100139008,block_12_mlp,19,0.026231173425912857,3.1205596923828125
190,100139008,block_12_mlp,20,0.025571897625923157,3.1205596923828125
190,100139008,block_12_mlp,21,0.021370358765125275,3.1205596923828125
190,100139008,block_12_mlp,22,0.02387681044638157,3.1205596923828125
190,100139008,block_12_mlp,23,0.02283143252134323,3.1205596923828125
190,100139008,ln_f_input,0,0.043005045503377914,3.188244342803955
190,100139008,ln_f_input,1,0.039940543472766876,3.188244342803955
190,100139008,ln_f_input,2,0.03953426331281662,3.188244342803955
190,100139008,ln_f_input,3,0.03434358164668083,3.188244342803955
190,100139008,ln_f_input,4,0.044638872146606445,3.188244342803955
190,100139008,ln_f_input,5,0.029853681102395058,3.188244342803955
190,100139008,ln_f_input,6,0.04890649765729904,3.188244342803955
190,100139008,ln_f_input,7,0.029270939528942108,3.188244342803955
190,100139008,ln_f_input,8,0.048390962183475494,3.188244342803955
190,100139008,ln_f_input,9,0.028616156429052353,3.188244342803955
190,100139008,ln_f_input,10,0.048407621681690216,3.188244342803955
190,100139008,ln_f_input,11,0.034609369933605194,3.188244342803955
190,100139008,ln_f_input,12,0.050114087760448456,3.188244342803955
190,100139008,ln_f_input,13,0.03532440960407257,3.188244342803955
190,100139008,ln_f_input,14,0.05236241966485977,3.188244342803955
190,100139008,ln_f_input,15,0.036949753761291504,3.188244342803955
190,100139008,ln_f_input,16,0.05116163194179535,3.188244342803955
190,100139008,ln_f_input,17,0.03468417748808861,3.188244342803955
190,100139008,ln_f_input,18,0.05069470778107643,3.188244342803955
190,100139008,ln_f_input,19,0.034396879374980927,3.188244342803955
190,100139008,ln_f_input,20,0.04377488046884537,3.188244342803955
190,100139008,ln_f_input,21,0.0320277102291584,3.188244342803955
190,100139008,ln_f_input,22,0.03970686346292496,3.188244342803955
190,100139008,ln_f_input,23,0.033594682812690735,3.188244342803955
190,100139008,ln_f_input,24,0.03569025918841362,3.188244342803955
