completed_updates,logical_targets,ce_pass_targets,weighted_multipass_training_loss,training_seconds,cumulative_training_seconds,targets_per_second,peak_allocated_bytes,timestamp
14893,7808221184,15860236288,3.1479594707489014,2.5083181858062744,38023.45925235748,209019.73400614352,46773069824,1788668515.765099
14894,7808745472,15861284864,3.0076210498809814,2.506413459777832,38025.96566581726,209178.57664492144,46773069824,1788668518.282654
14895,7809269760,15862333440,2.9947195053100586,2.506477117538452,38028.4721429348,209173.26407307878,46773069824,1788668520.7970574
14896,7809794048,15863382016,3.051849365234375,2.6451306343078613,38031.11727356911,198208.73615838937,46773069824,1788668523.4500313
14897,7810318336,15864430592,3.0839924812316895,2.5307512283325195,38033.64802479744,207166.94479111122,46773069824,1788668525.9901052
14898,7810842624,15865479168,3.068373203277588,2.504249334335327,38036.152274131775,209359.34485898764,46773069824,1788668528.5047894
14899,7811366912,15866527744,3.0902929306030273,2.505737543106079,38038.65801167488,209235.00206254623,46773069824,1788668531.0200772
14900,7811891200,15867576320,3.106882095336914,2.5026988983154297,38041.1607105732,209489.0441486585,46773069824,1788668533.5319655
14901,7812415488,15868624896,3.139484405517578,2.5052499771118164,38043.66596055031,209275.7228978909,46773069824,1788668536.0518396
14902,7812939776,15869673472,3.054208278656006,2.504837989807129,38046.170798540115,209310.14386298487,46773069824,1788668538.566109
14903,7813464064,15870722048,3.089128017425537,2.5017008781433105,38048.67249941826,209572.61700651888,46773069824,1788668541.077107
14904,7813988352,15871770624,3.0414233207702637,2.5051233768463135,38051.177622795105,209286.29896864537,46773069824,1788668543.5917177
14905,7814512640,15872819200,3.0361862182617188,2.5043487548828125,38053.68197154999,209351.033468393,46773069824,1788668546.1083014
14906,7815036928,15873867776,3.0392351150512695,2.504728078842163,38056.18669962883,209319.32868431677,46773069824,1788668548.6215465
14907,7815561216,15874916352,3.0453121662139893,2.5051701068878174,38058.69186973572,209282.39505912235,46773069824,1788668551.1351147
14908,7816085504,15875964928,3.0481977462768555,2.504808187484741,38061.1966779232,209312.63424465066,46773069824,1788668553.6476343
14909,7816609792,15877013504,3.050346612930298,2.5032668113708496,38063.69994473457,209441.51762747462,46773069824,1788668556.159605
14910,7817134080,15878062080,3.0926060676574707,2.5039637088775635,38066.20390844345,209383.22633877923,46773069824,1788668558.6710505
14911,7817658368,15879110656,3.1271238327026367,2.5029053688049316,38068.706813812256,209471.7629098111,46773069824,1788668561.1813526
14912,7818182656,15880683520,3.0105743408203125,3.819952964782715,38072.52676677704,137249.85748085575,46773069824,1788668565.009234
14913,7818706944,15881732096,3.1038637161254883,2.5035433769226074,38075.03031015396,209418.38069706727,46773069824,1788668567.5207944
14914,7819231232,15882780672,3.0450663566589355,2.502626657485962,38077.53293681145,209495.09126010776,46773069824,1788668570.0324993
14915,7819755520,15883829248,3.0777885913848877,2.504934549331665,38080.03787136078,209302.07543342156,46773069824,1788668572.546705
14916,7820279808,15884877824,3.0378947257995605,2.5008203983306885,38082.53869175911,209646.40257651656,46773069824,1788668575.0569587
14917,7820804096,15885926400,3.0143942832946777,2.502516746520996,38085.04120850563,209504.29232046747,46773069824,1788668577.567407
14918,7821328384,15886974976,2.998169422149658,2.532809257507324,38087.57401776314,206998.61169805596,46773069824,1788668580.1151009
14919,7821852672,15888023552,3.0348284244537354,2.501164674758911,38090.0751824379,209617.54549429516,46773069824,1788668582.6258771
14920,7822376960,15889072128,2.9929003715515137,2.5493862628936768,38092.62456870079,205652.63398136763,46773069824,1788668585.1837566
14921,7822901248,15890120704,3.015666961669922,2.5027008056640625,38095.127269506454,209488.88449368053,46773069824,1788668587.6949859
14922,7823425536,15891169280,3.020698308944702,2.5053813457489014,38097.6326508522,209264.74961171285,46773069824,1788668590.2090824
14923,7823949824,15892217856,3.075974225997925,2.5021536350250244,38100.13480448723,209534.69549632852,46773069824,1788668592.7212036
14924,7824474112,15893266432,3.0583767890930176,2.5043296813964844,38102.639134168625,209352.62792862093,46773069824,1788668595.2338026
14925,7824998400,15894315008,3.063282012939453,2.500437021255493,38105.13957118988,209678.54640735962,46773069824,1788668597.7433517
14926,7825522688,15895363584,3.0217487812042236,2.504598617553711,38107.644169807434,209330.14828223537,46773069824,1788668600.2618368
14927,7826046976,15896412160,3.0638179779052734,2.504976749420166,38110.149146556854,209298.54942620063,46773069824,1788668602.776296
14928,7826571264,15897460736,3.0095019340515137,2.5039169788360596,38112.65306353569,209387.13401101428,46773069824,1788668605.2897933
14929,7827095552,15898509312,3.0498416423797607,2.5036747455596924,38115.15673828125,209407.39244577725,46773069824,1788668607.8040178
14930,7827619840,15899557888,3.028759479522705,2.5049877166748047,38117.661725997925,209297.63308219152,46773069824,1788668610.3188317
14931,7828144128,15900606464,3.0200088024139404,2.503431558609009,38120.165157556534,209427.7345817723,46773069824,1788668612.8309002
14932,7828668416,15901655040,2.9923737049102783,2.5035383701324463,38122.668695926666,209418.79950985662,46773069824,1788668615.34427
14933,7829192704,15902703616,2.993316650390625,2.5036895275115967,38125.17238545418,209406.1560904027,46773069824,1788668617.8593438
14934,7829716992,15903752192,3.1871819496154785,2.5017123222351074,38127.67409777641,209571.658315847,46773069824,1788668620.3708763
14935,7830241280,15904800768,3.0523154735565186,2.503948926925659,38130.17804670334,209384.4624234086,46773069824,1788668622.882067
14936,7830765568,15905849344,3.021646499633789,2.5012567043304443,38132.67930340767,209609.83296608314,46773069824,1788668625.3926523
14937,7831289856,15906897920,3.0575530529022217,2.5052883625030518,38135.18459177017,209272.51642848013,46773069824,1788668627.9113932
14938,7831814144,15907946496,3.055021286010742,2.503629207611084,38137.68822097778,209411.20130974418,46773069824,1788668630.427627
14939,7832338432,15908995072,3.071110725402832,2.5029830932617188,38140.191204071045,209465.25823983224,46773069824,1788668632.9410305
14940,7832862720,15910043648,3.0373337268829346,2.503692150115967,38142.69489622116,209405.93673855465,46773069824,1788668635.4519916
14941,7833387008,15911092224,3.0285212993621826,2.5032541751861572,38145.19815039635,209442.5748679759,46773069824,1788668637.9631765
